table,field,unit_or_type,source,description,required,feeds
manifest,protocol_id,string,run_sheet,동결 protocol 식별자,yes,audit
manifest,protocol_revision,string,protocol,동결 protocol 문서 revision이며 현재 v0.4,yes,audit
manifest,run_id,string,run_sheet,50회 전체에서 고유한 run 식별자,yes,all
manifest,attempt,integer,evaluator,infrastructure invalid 재시도 번호,yes,audit
manifest,block_id,string,run_sheet,descriptive paired 분석 단위 B0--B4,yes,Fig2;TableII
manifest,order_in_block,integer,run_sheet,시간 drift 확인용 실행 순서,yes,audit
manifest,policy_seed,integer,bridge,request마다 server에 전달되는 seed,yes,Fig2;TableII
manifest,start_lane,inner_or_outer,derived_from_start_pose,B0/B2/B4 outer와 B1/B3 inner,yes,Fig2;TableII
manifest,condition,string,run_sheet,canonical_r030/heldout_lexical_r030/heldout_spatial_r030/canonical_r093,yes,Fig2;TableII
manifest,instruction,string,logger,/vla/instruction 실제 발행 문자열,yes,audit
manifest,expected_lane,inner_or_outer,run_sheet,문장으로 지정된 목표 차선,yes,TableII
manifest,refill_at,float,bridge,queue refill threshold,yes,Fig3;TableII
manifest,camera_topic,string,bridge,실제 inference observation topic,yes,audit
manifest,checkpoint_sha256,hex,protocol,model weights hash,yes,TableI;audit
manifest,source_snapshot_sha256,hex,protocol,관련 source diff bundle hash,yes,audit
manifest,training_instruction_inventory_sha256,hex_or_missing,protocol,복구된 실제 training instruction 목록 hash; 없으면 held-out 주장 금지,yes,audit
manifest,start_pose_error_m,m,evaluator,reset 뒤 지정 pose와 실제 pose 차이,yes,audit
manifest,start_yaw_error_rad,rad,evaluator,reset 뒤 지정 yaw와 실제 yaw 차이,yes,audit
manifest,start_speed_mps,m/s,evaluator,첫 instruction 직전 속도,yes,audit
manifest,first_req,integer,/vla/plan,각 run 첫 policy request id이며 0이어야 함,yes,audit
manifest,queue_empty_at_start,boolean,/vla/status,첫 instruction 직전 queue empty 여부,yes,audit
manifest,pending_request_at_start,boolean,bridge,첫 instruction 직전 pending request 여부; false여야 함,yes,audit
manifest,accepted,boolean,acceptance_gate,infrastructure 기준 통과 여부,yes,audit
manifest,exclusion_reason,string,acceptance_gate,사전 정의된 invalid 사유,yes,audit
pose,run_id,string,manifest,run join key,yes,Fig2;TableII
pose,sim_time_s,s,/clock,simulation timestamp,yes,Fig2
pose,x_m,m,dynamic_pose,world x,yes,Fig2
pose,y_m,m,dynamic_pose,world y,yes,Fig2
pose,yaw_rad,rad,dynamic_pose,vehicle heading,yes,analysis
pose,speed_mps,m/s,odom,measured longitudinal speed,yes,TableII
pose,progress_m,m,derived,unwrapped ring-centerline arclength,yes,Fig2;TableII
pose,lateral_signed_m,m,derived,signed offset from ring centerline,yes,Fig2;TableII
pose,target_lane_error_m,m,derived,distance to instructed lane centerline,yes,TableII
command,run_id,string,manifest,run join key,yes,audit
command,sim_time_s,s,/clock,command timestamp,yes,analysis
